YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,22,32,1.03,,,,
2011,03,10,22,33,1.00,,,,
2011,03,10,22,34,1.03,,,,
2011,03,10,22,35,1.02,,,,
2011,03,10,22,36,1.03,1.03,,,
2011,03,10,22,37,1.03,,,,
2011,03,10,22,38,1.03,,,,
2011,03,10,22,39,1.05,,,,
2011,03,10,22,40,1.02,,,,
2011,03,10,22,41,1.04,,,,
2011,03,10,22,42,1.05,1.05,,,
2011,03,10,22,43,1.08,,,,
2011,03,10,22,44,1.07,,,,
2011,03,10,22,45,1.00,,,,
2011,03,10,22,46,1.05,,,,
2011,03,10,22,47,1.02,,,,
2011,03,10,22,48,1.02,1.03,,,
2011,03,10,22,49,1.05,,,,
2011,03,10,22,50,1.06,,,,
2011,03,10,22,51,1.02,,,,
2011,03,10,22,52,1.01,,,,
2011,03,10,22,53,1.04,,,,
2011,03,10,22,54,1.04,1.04,,,
2011,03,10,22,55,1.03,,,,
2011,03,10,22,56,1.08,,,,
2011,03,10,22,57,1.06,,,,
2011,03,10,22,58,1.05,,,,
2011,03,10,22,59,1.04,,,,
2011,03,10,23,00,1.00,1.02,,,
2011,03,10,23,01,1.05,,,,
2011,03,10,23,02,1.06,,,,
2011,03,10,23,03,1.06,,,,
2011,03,10,23,04,1.05,,,,
2011,03,10,23,05,1.04,,,,
2011,03,10,23,06,1.04,1.04,,,
2011,03,10,23,07,1.07,,,,
2011,03,10,23,08,1.01,,,,
2011,03,10,23,09,1.01,,,,
2011,03,10,23,10,1.04,,,,
2011,03,10,23,11,1.02,,,,
2011,03,10,23,12,1.04,1.04,,,
2011,03,10,23,13,1.05,,,,
2011,03,10,23,14,1.03,,,,
2011,03,10,23,15,1.05,,,,
2011,03,10,23,16,1.03,,,,
2011,03,10,23,17,1.07,,,,
2011,03,10,23,18,1.04,1.05,,,
2011,03,10,23,19,1.06,,,,
2011,03,10,23,20,1.06,,,,
2011,03,10,23,21,1.05,,,,
2011,03,10,23,22,1.06,,,,
2011,03,10,23,23,1.03,,,,
2011,03,10,23,24,1.02,1.03,,,
2011,03,10,23,25,1.04,,,,
2011,03,10,23,26,1.05,,,,
2011,03,10,23,27,1.04,,,,
2011,03,10,23,28,1.07,,,,
2011,03,10,23,29,1.06,,,,
2011,03,10,23,30,1.07,1.07,,,
2011,03,10,23,31,1.06,,,,
2011,03,10,23,32,1.01,,,,
2011,03,10,23,33,1.01,,,,
2011,03,10,23,34,1.02,,,,
2011,03,10,23,35,1.05,,,,
2011,03,10,23,36,1.05,1.04,,,
2011,03,10,23,37,1.03,,,,
2011,03,10,23,38,1.00,,,,
2011,03,10,23,39,1.00,,,,
2011,03,10,23,40,1.07,,,,
2011,03,10,23,41,1.01,,,,
2011,03,10,23,42,1.04,1.04,,,
2011,03,10,23,43,1.02,,,,
2011,03,10,23,44,1.02,,,,
2011,03,10,23,45,1.04,,,,
2011,03,10,23,46,1.05,,,,
2011,03,10,23,47,1.04,,,,
