RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/05/12 09:40:07
Logger time   00/01/01 00:01:03
Logging start 11/03/10 10:26:30
Logging end   11/05/05 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  56115, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pescadero - downstream - march 10 to about May 5 (retrieved may 11).  third from bottom probably
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
   0.3984   11.7405   -0.4331    0.6250 
   0.4013   11.7143   -0.4331    0.6250 
   0.4060   11.7191   -0.4331    0.6250 
   0.4050   11.7024   -0.4331    0.6250 
   0.4001   11.7134   -0.4331    0.6250 
   0.4040   11.7054   -0.4331    0.6250 
   0.3963   11.7397   -0.4331    0.6250 
   0.4036   11.6937   -0.4331    0.6250 
   0.4001   11.6945   -0.4331    0.6250 
   0.4004   11.6737   -0.4331    0.6250 
   0.3967   11.6708   -0.4331    0.6250 
   0.4000   11.6764   -0.4331    0.6250 
   0.4047   11.6603   -0.4331    0.6250 
   0.4033   11.6371   -0.4331    0.6250 
   0.3949   11.6266   -0.4331    0.6250 
   0.3967   11.6219   -0.4331    0.6250 
   0.4053   11.6231   -0.4331    0.6250 
   0.4016   11.6180   -0.4331    0.6250 
   0.3988   11.6156   -0.4331    0.6250 
   0.4073   11.5970   -0.4331    0.6250 
   0.4005   11.5785   -0.4331    0.6250 
   0.4003   11.5741   -0.4331    0.6250 
   0.4054   11.5791   -0.4331    0.6250 
   0.3926   11.5679   -0.4331    0.6250 
   0.3915   11.5507   -0.4331    0.6250 
   0.4045   11.5543   -0.4331    0.6250 
   0.3887   11.5354   -0.4331    0.6250 
   0.4010   11.5458   -0.4331    0.6250 
   0.4022   11.5293   -0.4331    0.6250 
   0.3923   11.5141   -0.4331    0.6250 
   0.4031   11.5241   -0.4331    0.6250 
   0.3969   11.5266   -0.4331    0.6250 
   0.3973   11.5130   -0.4331    0.6250 
   0.3945   11.4977   -0.4331    0.6250 
   0.3975   11.5040   -0.4331    0.6250 
   0.3888   11.4704   -0.4331    0.6250 
   0.3953   11.4728   -0.4331    0.6250 
   0.3939   11.4724   -0.4331    0.6250 
   0.3935   11.4604   -0.4331    0.6250 
   0.3930   11.4391   -0.4331    0.6250 
   0.3973   11.4386   -0.4331    0.6250 
   0.4127   11.4862   -0.4331    0.6250 
   0.3902   11.4369   -0.4331    0.6250 
   0.3948   11.4321   -0.4331    0.6250 
   0.3967   11.4468   -0.4331    0.6250 
   0.4046   11.4323   -0.4331    0.6250 
   0.3961   11.4163   -0.4331    0.6250 
   0.4019   11.4363   -0.4331    0.6250 
   0.4181   11.4548   -0.4331    0.6250 
   0.4221   11.4415   -0.4331    0.6250 
   0.3974   11.4146   -0.4331    0.6250 
   0.3963   11.4106   -0.4331    0.6250 
   0.4017   11.4192   -0.4331    0.6250 
   0.3919   11.3807   -0.4331    0.6250 
   0.4080   11.4111   -0.4331    0.6250 
   0.3920   11.3783   -0.4331    0.6250 
   0.4117   11.3843   -0.4331    0.6250 
   0.3983   11.3821   -0.4331    0.6250 
   0.4028   11.3895   -0.4331    0.6250 
   0.4040   11.3971   -0.4331    0.6250 
   0.4063   11.3635   -0.4331    0.6250 
   0.3947   11.3466   -0.4331    0.6250 
   0.4009   11.3595   -0.4331    0.6250 
   0.3912   11.3324   -0.4331    0.6250 
   0.3898   11.3256   -0.4331    0.6250 
   0.4013   11.3381   -0.4331    0.6250 
   0.4067   11.3478   -0.4331    0.6250 
   0.3963   11.3182   -0.4331    0.6250 
   0.3921   11.2858   -0.4331    0.6250 
   0.4010   11.2892   -0.4331    0.6250 
   0.4056   11.3506   -0.4331    0.6250 
   0.4007   11.3339   -0.4331    0.6250 
   0.3990   11.3074   -0.4331    0.6250 
   0.4046   11.2993   -0.4331    0.6250 
   0.3978   11.2796   -0.4331    0.6250 
   0.4095   11.2860   -0.4331    0.6250 
   0.4025   11.2626   -0.4331    0.6250 
   0.3994   11.2692   -0.4331    0.6250 
   0.4020   11.2809   -0.4331    0.6250 
   0.4044   11.2775   -0.4331    0.6250 
   0.3968   11.2393   -0.4331    0.6250 
   0.3999   11.2284   -0.4331    0.6250 
