RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/03/10 10:22:11
Logger time   00/01/01 00:00:54
Logging start 11/01/27 12:49:50
Logging end   11/03/21 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  57801, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pdo 3102011
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
  30.5511   13.3516   -0.4331    0.3297 
  30.9570   12.9179   -0.4331    0.3253 
  31.0657   12.9697   -0.4331    0.3302 
  29.9114   13.4080   -0.4331    0.3189 
  30.3237   13.1756   -0.4331    0.3269 
  30.3497   13.3267   -0.4331    0.3206 
  30.0628   13.3371   -0.4331    0.3165 
  30.5897   12.9684   -0.4331    0.3150 
  30.0901   13.3054   -0.4331    0.3153 
  30.0663   13.4555   -0.4331    0.3188 
  30.0535   13.3937   -0.4331    0.0100 
  30.2692   13.4162   -0.4331    0.2926 
  30.1476   13.4102   -0.4331    0.2946 
  30.2449   13.4303   -0.4331    0.2952 
  30.1350   13.4947   -0.4331    0.2969 
  21.2917   13.4672   -0.4331    0.2967 
  22.7939   13.2768   -0.4331    0.2949 
  29.5214   13.3902   -0.4331    0.2963 
  30.2009   13.2608   -0.4331    0.2910 
  30.2327   13.2948   -0.4331    0.2903 
  30.2929   13.1882   -0.4331    0.2844 
  31.8751   13.2196   -0.4331    0.2887 
  30.1983   13.3312   -0.4331    0.2867 
  30.3486   13.5023   -0.4331    0.2864 
  30.1121   13.4463   -0.4331    0.2878 
  30.0398   13.4203   -0.4331    0.2845 
  29.6907   13.3835   -0.4331    0.2876 
  29.7553   13.3565   -0.4331    0.2853 
  29.1560   13.7038   -0.4331    0.2858 
  29.1873   13.6962   -0.4331    0.2881 
  29.2492   13.6894   -0.4331    0.2875 
  29.2575   13.6798   -0.4331    0.2801 
  29.5433   13.5919   -0.4331    0.2850 
  29.3316   13.6646   -0.4331    0.2840 
  29.4991   13.6591   -0.4331    0.2859 
  29.5772   13.4079   -0.4331    0.2699 
  29.6845   13.4875   -0.4331    0.2778 
  30.1040   13.4118   -0.4331    0.2737 
  29.7131   13.4421   -0.4331    0.2728 
  29.6871   13.5355   -0.4331    0.2655 
  29.5640   13.4978   -0.4331    0.2633 
  29.3113   13.9083   -0.4331    0.2690 
  29.5251   13.7818   -0.4331    0.2661 
  29.5534   13.6171   -0.4331    0.2577 
  29.7491   13.5329   -0.4331    0.2706 
  29.6368   13.5481   -0.4331    0.2637 
  30.4685   13.4618   -0.4331    0.2689 
  29.8002   13.4347   -0.4331    0.2616 
  29.4965   13.4279   -0.4331    0.2617 
  29.3508   13.4351   -0.4331    0.2689 
  29.5007   13.4506   -0.4331    0.2601 
  29.6773   13.5253   -0.4331    0.2500 
  29.5003   13.4649   -0.4331    0.2565 
  29.0668   13.3992   -0.4331    0.2627 
  29.1485   13.5476   -0.4331    0.2619 
  29.1499   13.5890   -0.4331    0.2868 
  29.2516   13.7813   -0.4331    0.2665 
  29.3091   13.5563   -0.4331    0.2515 
  29.1826   13.9256   -0.4331    0.2540 
  29.2321   13.9337   -0.4331    0.2466 
  29.2477   13.6479   -0.4331    0.2486 
  29.3000   13.5617   -0.4331    0.2570 
  29.2504   13.5388   -0.4331    0.2468 
  29.4430   13.5491   -0.4331    0.2441 
  29.4552   13.5814   -0.4331    0.2465 
  29.2932   13.6010   -0.4331    0.2609 
  29.4305   13.6395   -0.4331    0.2555 
  29.2889   13.6494   -0.4331    0.2514 
  28.9969   13.5948   -0.4331    0.2543 
  29.0022   13.6643   -0.4331    0.2703 
  28.9740   13.7003   -0.4331    0.2653 
  28.9837   13.6480   -0.4331    0.2631 
  28.9748   13.6926   -0.4331    4.7935 
  28.9274   13.6410   -0.4331    0.3860 
  28.8346   13.7415   -0.4331    0.3863 
  28.9256   13.7287   -0.4331    0.3358 
  29.0367   13.6226   -0.4331    0.3873 
  28.9444   13.7005   -0.4331    0.3894 
  28.8930   13.6176   -0.4331    0.3899 
  28.8895   13.7808   -0.4331    0.3914 
  28.9980   13.6869   -0.4331    0.3934 
  29.2019   13.6362   -0.4331    0.3923 
  29.2324   13.6239   -0.4331    0.4043 
  29.3222   13.5571   -0.4331    0.4098 
  29.2622   13.6359   -0.4331    0.3962 
  29.2699   13.6316   -0.4331    0.3818 
  29.0495   13.7097   -0.4331    0.3885 
  28.8698   13.7660   -0.4331    0.3884 
  28.8095   13.6876   -0.4331    0.3825 
  28.7973   13.7312   -0.4331    0.3955 
  28.8905   13.8982   -0.4331    0.3984 
  28.8649   13.7740   -0.4331    0.3889 
  29.1971   13.7862   -0.4331    0.3935 
  28.9755   13.9121   -0.4331    0.3981 
  28.8136   13.7831   -0.4331    0.3901 
  28.7610   13.8496   -0.4331    0.3963 
  28.7865   13.7873   -0.4331    0.3948 
  28.9342   13.8470   -0.4331    0.3961 
  29.1770   13.8123   -0.4331    0.3929 
  29.0102   13.7195   -0.4331    0.3947 
  29.0600   13.8754   -0.4331    0.4055 
  29.2680   13.6240   -0.4331    0.4057 
  29.4830   13.7476   -0.4331    0.4036 
  29.9976   13.7210   -0.4331    0.3997 
  29.4469   13.9144   -0.4331    0.4042 
  29.3850   13.6765   -0.4331    0.4029 
  29.2814   13.8201   -0.4331    0.3920 
  29.1285   14.0041   -0.4331    0.3987 
  29.1676   14.0564   -0.4331    0.3983 
  29.1049   14.0654   -0.4331    0.3967 
  29.2440   14.0321   -0.4331    0.3947 
  28.5208   14.1093   -0.4331    0.3945 
  28.7656   14.1450   -0.4331    0.4002 
  28.4039   14.1502   -0.4331    0.3994 
  28.4173   14.0637   -0.4331    0.3986 
  28.9384   13.9936   -0.4331    0.3926 
  28.8680   13.9410   -0.4331    0.3987 
  29.2810   13.8297   -0.4331    0.3981 
  29.3665   13.8245   -0.4331    0.3940 
  29.4968   13.7548   -0.4331    0.3995 
  29.4232   13.9143   -0.4331    0.3992 
  29.5007   13.8668   -0.4331    0.3973 
  29.5703   13.7343   -0.4331    0.3921 
  29.4906   13.8541   -0.4331    0.3944 
  29.1003   13.9077   -0.4331    0.3949 
  29.3461   13.9231   -0.4331    0.3969 
  29.0111   13.9829   -0.4331    0.3931 
  29.1515   14.0516   -0.4331    0.3917 
  29.0756   14.0966   -0.4331    0.3907 
  29.0421   14.1587   -0.4331    0.3957 
  28.9958   14.1768   -0.4331    0.3956 
  28.6399   14.1559   -0.4331    0.3941 
  28.7027   14.1819   -0.4331    0.3951 
  28.4751   14.1774   -0.4331    0.3928 
  28.3023   14.1501   -0.4331    0.3841 
  28.3653   14.1551   -0.4331    0.3810 
  28.1527   14.1344   -0.4331    0.3758 
  28.0985   14.1441   -0.4331    0.3731 
  28.1581   14.1212   -0.4331    0.3795 
  28.2209   14.1302   -0.4331    0.3806 
  28.3630   14.1183   -0.4331    0.3815 
  28.5069   14.1073   -0.4331    0.3714 
  28.2491   14.1136   -0.4331    0.3790 
  28.0055   14.1426   -0.4331    0.3776 
  28.0110   14.1688   -0.4331    0.3781 
  28.2567   14.1245   -0.4331    0.3759 
  27.9908   14.1116   -0.4331    0.3754 
  28.0918   14.1719   -0.4331    0.3764 
  27.9924   14.2146   -0.4331    0.3703 
  27.8384   14.3094   -0.4331    0.3787 
  27.8738   14.3294   -0.4331    0.3742 
  27.8962   14.3063   -0.4331    0.3772 
  27.9021   14.3641   -0.4331    0.3675 
  27.9426   14.1619   -0.4331    0.3745 
  28.6452   14.1187   -0.4331    0.3715 
  28.2612   14.0661   -0.4331    0.3733 
  28.6862   14.0159   -0.4331    0.3761 
  28.4883   14.0225   -0.4331    0.3736 
  28.7529   14.0083   -0.4331    0.3758 
  28.6103   14.0054   -0.4331    0.3656 
  29.2448   13.9902   -0.4331    0.3759 
  29.2088   13.9525   -0.4331    0.3750 
  29.2356   13.9562   -0.4331    0.3728 
  29.0917   13.9622   -0.4331    0.3732 
  28.7922   13.9629   -0.4331    0.3727 
  29.1775   13.9500   -0.4331    0.3737 
  28.7936   13.9480   -0.4331    0.3727 
  28.7228   13.9623   -0.4331    0.3729 
  28.7577   13.9534   -0.4331    0.3728 
  28.9365   13.9460   -0.4331    0.3657 
  28.8555   13.9492   -0.4331    0.3716 
  28.7032   13.9415   -0.4331    0.3708 
